Rotacja;Wiek;LataNaObecnymStanowisku;PodróżeSłużbowe;ZadowolenieZPracy;ZaangażowanieWPracę;ZadowolenieZeŚrodowiska;MiesięcznyDochód;StanCywilny;Nadgodziny;GrupaWiekowa;GrupaDochodowa;GrupaLataNaObecnymStanowisku
Tak;41;15;Rzadkie podróże;3;3;Średnio zadowolony;19545;Żonaty/Zamężna;Nie;36-45;10000+;13-16
Nie;34;5;Brak podróży;3;3;Średnio zadowolony;4568;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Nie;37;0;Rzadkie podróże;2;3;Średnio zadowolony;3022;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;46;6;Częste podróże;4;3;Niezadowolony;5772;Wolny/Wolna;Tak;46-55;4001-6000;5-8
Nie;35;0;Rzadkie podróże;4;4;Zadowolony;2269;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Tak;48;0;Rzadkie podróże;3;2;Niezadowolony;5381;Wolny/Wolna;Tak;46-55;4001-6000;0-4
Tak;28;2;Rzadkie podróże;3;3;Średnio zadowolony;3441;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;44;3;Rzadkie podróże;1;3;Średnio zadowolony;5454;Rozwiedziony/Rozwiedziona;Tak;36-45;4001-6000;0-4
Nie;35;0;Brak podróży;1;2;Średnio zadowolony;9884;Żonaty/Zamężna;Tak;26-35;8001-10000;0-4
Nie;26;2;Rzadkie podróże;4;2;Średnio zadowolony;4157;Żonaty/Zamężna;Tak;26-35;4001-6000;0-4
Nie;33;14;Częste podróże;4;3;Niezadowolony;13458;Wolny/Wolna;Tak;26-35;10000+;13-16
Nie;35;8;Częste podróże;1;3;Średnio zadowolony;9069;Żonaty/Zamężna;Nie;26-35;8001-10000;5-8
Nie;35;2;Rzadkie podróże;1;3;Średnio zadowolony;4014;Żonaty/Zamężna;Tak;26-35;4001-6000;0-4
Nie;31;7;Rzadkie podróże;4;3;Zadowolony;5915;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;5-8
Nie;37;5;Rzadkie podróże;3;2;Niezadowolony;5993;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;5-8
Nie;32;8;Rzadkie podróże;4;3;Niezadowolony;6162;Żonaty/Zamężna;Tak;26-35;6001-8000;5-8
Nie;38;3;Częste podróże;4;3;Zadowolony;2406;Wolny/Wolna;Nie;36-45;2001-4000;0-4
Nie;50;3;Rzadkie podróże;3;2;Średnio zadowolony;18740;Rozwiedziony/Rozwiedziona;Tak;46-55;10000+;0-4
Nie;59;16;Rzadkie podróże;1;3;Niezadowolony;7637;Wolny/Wolna;Nie;56-65;6001-8000;13-16
Nie;36;14;Rzadkie podróże;3;3;Średnio zadowolony;10096;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;13-16
Nie;55;0;Rzadkie podróże;3;3;Zadowolony;14756;Rozwiedziony/Rozwiedziona;Tak;46-55;10000+;0-4
Nie;36;5;Częste podróże;2;2;Średnio zadowolony;6499;Wolny/Wolna;Nie;36-45;6001-8000;5-8
Nie;45;0;Rzadkie podróże;1;3;Średnio zadowolony;9724;Rozwiedziony/Rozwiedziona;Nie;36-45;8001-10000;0-4
Nie;35;2;Częste podróże;1;3;Średnio zadowolony;2194;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Tak;36;0;Rzadkie podróże;3;2;Zadowolony;3388;Żonaty/Zamężna;Tak;36-45;2001-4000;0-4
Nie;59;3;Częste podróże;3;2;Niezadowolony;5473;Wolny/Wolna;Nie;56-65;4001-6000;0-4
Nie;29;4;Rzadkie podróże;2;3;Średnio zadowolony;2703;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;31;1;Rzadkie podróże;2;3;Średnio zadowolony;2501;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;32;4;Rzadkie podróże;2;3;Średnio zadowolony;6220;Żonaty/Zamężna;Nie;26-35;6001-8000;0-4
Nie;36;0;Rzadkie podróże;4;4;Średnio zadowolony;3038;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;31;7;Rzadkie podróże;4;3;Średnio zadowolony;4424;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Nie;35;13;Rzadkie podróże;1;2;Średnio zadowolony;4312;Wolny/Wolna;Nie;26-35;4001-6000;13-16
Nie;45;0;Rzadkie podróże;1;3;Zadowolony;13245;Żonaty/Zamężna;Tak;36-45;10000+;0-4
Nie;37;2;Rzadkie podróże;3;3;Niezadowolony;13664;Wolny/Wolna;Nie;36-45;10000+;0-4
Nie;46;2;Rzadkie podróże;2;3;Średnio zadowolony;5021;Rozwiedziony/Rozwiedziona;Tak;46-55;4001-6000;0-4
Nie;30;8;Rzadkie podróże;4;2;Zadowolony;5126;Żonaty/Zamężna;Tak;26-35;4001-6000;5-8
Nie;35;4;Rzadkie podróże;3;2;Średnio zadowolony;2859;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;55;0;Rzadkie podróże;4;3;Niezadowolony;10239;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;38;11;Brak podróży;4;1;Średnio zadowolony;5329;Rozwiedziony/Rozwiedziona;Tak;36-45;4001-6000;9-12
Nie;34;2;Rzadkie podróże;2;3;Niezadowolony;4325;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;56;4;Rzadkie podróże;4;1;Zadowolony;7260;Wolny/Wolna;Nie;56-65;6001-8000;0-4
Nie;23;0;Rzadkie podróże;1;3;Średnio zadowolony;2322;Rozwiedziony/Rozwiedziona;Nie;19-25;2001-4000;0-4
Nie;51;2;Rzadkie podróże;4;3;Zadowolony;2075;Żonaty/Zamężna;Nie;46-55;2001-4000;0-4
Nie;30;10;Rzadkie podróże;4;2;Średnio zadowolony;4152;Żonaty/Zamężna;Nie;26-35;4001-6000;9-12
Tak;46;8;Rzadkie podróże;4;2;Średnio zadowolony;9619;Wolny/Wolna;Nie;46-55;8001-10000;5-8
Nie;40;3;Częste podróże;2;2;Średnio zadowolony;13503;Żonaty/Zamężna;Nie;36-45;10000+;0-4
Nie;51;7;Rzadkie podróże;4;3;Średnio zadowolony;5441;Wolny/Wolna;Tak;46-55;4001-6000;5-8
Nie;30;8;Rzadkie podróże;2;2;Średnio zadowolony;5209;Rozwiedziony/Rozwiedziona;Tak;26-35;4001-6000;5-8
Nie;46;9;Częste podróże;1;2;Średnio zadowolony;10673;Żonaty/Zamężna;Tak;46-55;10000+;9-12
Nie;32;8;Rzadkie podróże;3;3;Średnio zadowolony;5010;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Nie;54;3;Rzadkie podróże;3;3;Niezadowolony;13549;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;24;2;Rzadkie podróże;3;3;Niezadowolony;4999;Żonaty/Zamężna;Nie;19-25;4001-6000;0-4
Nie;28;4;Brak podróży;3;3;Średnio zadowolony;4221;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;58;10;Rzadkie podróże;3;3;Zadowolony;13872;Wolny/Wolna;Nie;56-65;10000+;9-12
Nie;44;2;Brak podróży;2;3;Średnio zadowolony;2042;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Tak;37;2;Rzadkie podróże;1;3;Średnio zadowolony;2073;Rozwiedziony/Rozwiedziona;Tak;36-45;2001-4000;0-4
Nie;32;0;Rzadkie podróże;1;3;Zadowolony;2956;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Tak;20;0;Częste podróże;4;2;Zadowolony;2926;Wolny/Wolna;Tak;19-25;2001-4000;0-4
Nie;34;13;Rzadkie podróże;3;3;Niezadowolony;4809;Wolny/Wolna;Nie;26-35;4001-6000;13-16
Nie;37;0;Brak podróży;4;2;Średnio zadowolony;5163;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;0-4
Nie;59;2;Brak podróży;4;2;Średnio zadowolony;18844;Żonaty/Zamężna;Nie;56-65;10000+;0-4
Nie;50;3;Częste podróże;2;3;Niezadowolony;18172;Żonaty/Zamężna;Tak;46-55;10000+;0-4
Tak;25;4;Rzadkie podróże;3;2;Średnio zadowolony;5744;Wolny/Wolna;Tak;19-25;4001-6000;0-4
Nie;25;2;Rzadkie podróże;4;2;Zadowolony;2889;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;22;0;Rzadkie podróże;4;3;Średnio zadowolony;2871;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;51;12;Częste podróże;1;2;Niezadowolony;7484;Wolny/Wolna;Nie;46-55;6001-8000;9-12
Tak;34;7;Częste podróże;3;1;Niezadowolony;6074;Wolny/Wolna;Tak;26-35;6001-8000;5-8
Nie;54;3;Brak podróży;4;4;Zadowolony;17328;Wolny/Wolna;Tak;46-55;10000+;0-4
Nie;24;3;Rzadkie podróże;3;3;Średnio zadowolony;2774;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;34;0;Rzadkie podróże;2;2;Średnio zadowolony;4505;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Nie;37;3;Rzadkie podróże;4;3;Średnio zadowolony;7428;Wolny/Wolna;Nie;36-45;6001-8000;0-4
Nie;34;10;Rzadkie podróże;1;2;Średnio zadowolony;11631;Wolny/Wolna;Nie;26-35;10000+;9-12
Nie;36;7;Częste podróże;4;3;Średnio zadowolony;9738;Żonaty/Zamężna;Nie;36-45;8001-10000;5-8
Nie;36;0;Rzadkie podróże;4;3;Niezadowolony;2835;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;0-4
Nie;43;12;Częste podróże;4;3;Średnio zadowolony;16959;Żonaty/Zamężna;Tak;36-45;10000+;9-12
Nie;30;7;Częste podróże;3;1;Niezadowolony;2613;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;5-8
Nie;33;7;Brak podróży;2;3;Średnio zadowolony;6146;Żonaty/Zamężna;Nie;26-35;6001-8000;5-8
Tak;56;4;Rzadkie podróże;2;3;Średnio zadowolony;4963;Żonaty/Zamężna;Tak;56-65;4001-6000;0-4
Nie;51;18;Rzadkie podróże;3;3;Niezadowolony;19537;Wolny/Wolna;Nie;46-55;10000+;17+
Tak;31;7;Rzadkie podróże;3;1;Średnio zadowolony;6172;Żonaty/Zamężna;Tak;26-35;6001-8000;5-8
Nie;26;4;Rzadkie podróże;2;2;Średnio zadowolony;2368;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Tak;58;10;Rzadkie podróże;4;3;Zadowolony;10312;Żonaty/Zamężna;Nie;56-65;10000+;9-12
Tak;19;0;Rzadkie podróże;3;3;Zadowolony;1675;Wolny/Wolna;Tak;19-25;0-2000;0-4
Nie;22;1;Rzadkie podróże;4;3;Średnio zadowolony;2523;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;49;11;Rzadkie podróże;1;3;Średnio zadowolony;6567;Żonaty/Zamężna;Nie;46-55;6001-8000;9-12
Nie;43;2;Częste podróże;3;4;Średnio zadowolony;4739;Wolny/Wolna;Nie;36-45;4001-6000;0-4
Nie;50;2;Częste podróże;4;3;Średnio zadowolony;9208;Wolny/Wolna;Nie;46-55;8001-10000;0-4
Tak;31;2;Rzadkie podróże;3;1;Średnio zadowolony;4559;Żonaty/Zamężna;Tak;26-35;4001-6000;0-4
Nie;41;7;Rzadkie podróże;3;3;Średnio zadowolony;8189;Rozwiedziony/Rozwiedziona;Tak;36-45;8001-10000;5-8
Nie;26;7;Rzadkie podróże;3;3;Średnio zadowolony;2942;Żonaty/Zamężna;Nie;26-35;2001-4000;5-8
Nie;36;2;Rzadkie podróże;2;3;Średnio zadowolony;4941;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;0-4
Tak;51;2;Częste podróże;4;1;Niezadowolony;10650;Wolny/Wolna;Nie;46-55;10000+;0-4
Nie;39;11;Rzadkie podróże;3;2;Zadowolony;5902;Żonaty/Zamężna;Nie;36-45;4001-6000;9-12
Nie;25;2;Rzadkie podróże;3;2;Niezadowolony;8639;Żonaty/Zamężna;Nie;19-25;8001-10000;0-4
Nie;30;9;Rzadkie podróże;4;3;Średnio zadowolony;6347;Żonaty/Zamężna;Tak;26-35;6001-8000;9-12
Tak;32;4;Rzadkie podróże;1;3;Niezadowolony;4200;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;45;5;Rzadkie podróże;4;3;Średnio zadowolony;3452;Wolny/Wolna;Nie;36-45;2001-4000;5-8
Nie;38;2;Rzadkie podróże;3;3;Zadowolony;4317;Wolny/Wolna;Tak;36-45;4001-6000;0-4
Nie;30;4;Rzadkie podróże;3;3;Niezadowolony;2632;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;32;7;Częste podróże;4;1;Zadowolony;4668;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;5-8
Nie;30;2;Rzadkie podróże;1;3;Zadowolony;3204;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;30;3;Rzadkie podróże;4;2;Średnio zadowolony;2720;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;41;6;Częste podróże;1;2;Zadowolony;17181;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;5-8
Nie;41;0;Rzadkie podróże;1;3;Średnio zadowolony;2238;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;19;0;Rzadkie podróże;2;3;Średnio zadowolony;1483;Wolny/Wolna;Nie;19-25;0-2000;0-4
Nie;40;7;Częste podróże;2;3;Średnio zadowolony;5605;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;5-8
Nie;35;8;Rzadkie podróże;2;3;Średnio zadowolony;7295;Żonaty/Zamężna;Nie;26-35;6001-8000;5-8
Nie;53;7;Rzadkie podróże;3;3;Średnio zadowolony;2306;Żonaty/Zamężna;Tak;46-55;2001-4000;5-8
Nie;45;9;Rzadkie podróże;2;3;Średnio zadowolony;2348;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;9-12
Nie;32;8;Częste podróże;4;3;Średnio zadowolony;8998;Wolny/Wolna;Nie;26-35;8001-10000;5-8
Nie;29;7;Brak podróży;3;3;Zadowolony;4319;Żonaty/Zamężna;Nie;26-35;4001-6000;5-8
Nie;51;0;Rzadkie podróże;3;2;Średnio zadowolony;6132;Żonaty/Zamężna;Nie;46-55;6001-8000;0-4
Nie;58;0;Rzadkie podróże;2;2;Średnio zadowolony;3346;Żonaty/Zamężna;Tak;56-65;2001-4000;0-4
Nie;40;11;Rzadkie podróże;4;2;Średnio zadowolony;10855;Żonaty/Zamężna;Nie;36-45;10000+;9-12
Nie;34;3;Częste podróże;3;3;Średnio zadowolony;2231;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;22;2;Rzadkie podróże;4;3;Średnio zadowolony;2323;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;27;2;Brak podróży;2;3;Zadowolony;2024;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;28;2;Rzadkie podróże;4;3;Średnio zadowolony;2713;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;57;3;Rzadkie podróże;4;4;Średnio zadowolony;9439;Rozwiedziony/Rozwiedziona;Tak;56-65;8001-10000;0-4
Nie;27;1;Brak podróży;3;2;Średnio zadowolony;2566;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Nie;50;4;Rzadkie podróże;2;3;Średnio zadowolony;19926;Wolny/Wolna;Nie;46-55;10000+;0-4
Nie;41;8;Rzadkie podróże;3;3;Niezadowolony;2451;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;5-8
Nie;30;9;Rzadkie podróże;4;3;Średnio zadowolony;9419;Żonaty/Zamężna;Nie;26-35;8001-10000;9-12
Nie;38;3;Rzadkie podróże;4;2;Niezadowolony;8686;Wolny/Wolna;Nie;36-45;8001-10000;0-4
Nie;32;4;Rzadkie podróże;3;3;Średnio zadowolony;3038;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;27;2;Rzadkie podróże;2;3;Średnio zadowolony;3058;Żonaty/Zamężna;Tak;26-35;2001-4000;0-4
Tak;19;0;Częste podróże;1;1;Średnio zadowolony;2325;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;36;7;Częste podróże;2;3;Zadowolony;2088;Wolny/Wolna;Nie;36-45;2001-4000;5-8
Nie;30;9;Brak podróży;1;3;Średnio zadowolony;3072;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;9-12
Nie;45;4;Rzadkie podróże;1;3;Średnio zadowolony;5006;Rozwiedziony/Rozwiedziona;Tak;36-45;4001-6000;0-4
Nie;56;2;Rzadkie podróże;1;3;Średnio zadowolony;4257;Rozwiedziony/Rozwiedziona;Tak;56-65;4001-6000;0-4
Nie;33;1;Rzadkie podróże;4;3;Średnio zadowolony;2500;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Tak;19;0;Rzadkie podróże;4;2;Średnio zadowolony;1102;Wolny/Wolna;Nie;19-25;0-2000;0-4
Nie;46;13;Rzadkie podróże;1;3;Średnio zadowolony;10453;Rozwiedziony/Rozwiedziona;Nie;46-55;10000+;13-16
Nie;38;2;Rzadkie podróże;4;3;Średnio zadowolony;2288;Wolny/Wolna;Nie;36-45;2001-4000;0-4
Nie;31;2;Rzadkie podróże;4;3;Średnio zadowolony;3929;Żonaty/Zamężna;Tak;26-35;2001-4000;0-4
Nie;34;2;Rzadkie podróże;2;3;Zadowolony;2311;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Tak;41;3;Rzadkie podróże;2;3;Średnio zadowolony;3140;Wolny/Wolna;Tak;36-45;2001-4000;0-4
Nie;50;2;Rzadkie podróże;3;2;Średnio zadowolony;3690;Żonaty/Zamężna;Nie;46-55;2001-4000;0-4
Nie;53;2;Rzadkie podróże;1;4;Zadowolony;4450;Rozwiedziony/Rozwiedziona;Nie;46-55;4001-6000;0-4
Nie;33;7;Rzadkie podróże;2;3;Zadowolony;2756;Żonaty/Zamężna;Nie;26-35;2001-4000;5-8
Nie;40;8;Rzadkie podróże;3;3;Zadowolony;19033;Żonaty/Zamężna;Nie;36-45;10000+;5-8
Nie;55;15;Rzadkie podróże;2;4;Średnio zadowolony;18722;Wolny/Wolna;Nie;46-55;10000+;13-16
Nie;34;9;Częste podróże;3;2;Zadowolony;9547;Żonaty/Zamężna;Nie;26-35;8001-10000;9-12
Nie;51;7;Rzadkie podróże;2;3;Zadowolony;13734;Wolny/Wolna;Nie;46-55;10000+;5-8
Nie;52;18;Rzadkie podróże;3;2;Średnio zadowolony;19999;Żonaty/Zamężna;Nie;46-55;10000+;17+
Nie;27;7;Rzadkie podróże;2;3;Zadowolony;2279;Wolny/Wolna;Nie;26-35;2001-4000;5-8
Tak;35;0;Rzadkie podróże;3;2;Średnio zadowolony;5916;Żonaty/Zamężna;Tak;26-35;4001-6000;0-4
Nie;43;4;Brak podróży;4;4;Zadowolony;2089;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;0-4
Nie;45;8;Brak podróży;4;2;Niezadowolony;16792;Żonaty/Zamężna;Nie;36-45;10000+;5-8
Nie;37;7;Rzadkie podróże;1;4;Średnio zadowolony;3564;Żonaty/Zamężna;Tak;36-45;2001-4000;5-8
Nie;35;2;Częste podróże;2;3;Średnio zadowolony;4425;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;42;3;Brak podróży;3;3;Średnio zadowolony;5265;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;0-4
Nie;38;0;Rzadkie podróże;3;3;Zadowolony;6553;Żonaty/Zamężna;Nie;36-45;6001-8000;0-4
Nie;38;7;Rzadkie podróże;4;3;Zadowolony;6261;Żonaty/Zamężna;Nie;36-45;6001-8000;5-8
Nie;27;2;Częste podróże;1;2;Średnio zadowolony;4298;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;49;7;Brak podróży;4;3;Zadowolony;6804;Rozwiedziony/Rozwiedziona;Tak;46-55;6001-8000;5-8
Nie;34;3;Częste podróże;3;3;Zadowolony;3815;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Nie;40;2;Rzadkie podróże;4;3;Średnio zadowolony;2741;Żonaty/Zamężna;Tak;36-45;2001-4000;0-4
Tak;38;0;Rzadkie podróże;1;3;Średnio zadowolony;6673;Żonaty/Zamężna;Tak;36-45;6001-8000;0-4
Tak;29;4;Rzadkie podróże;4;3;Średnio zadowolony;7639;Żonaty/Zamężna;Nie;26-35;6001-8000;0-4
Nie;22;2;Rzadkie podróże;2;4;Zadowolony;2328;Rozwiedziony/Rozwiedziona;Tak;19-25;2001-4000;0-4
Nie;36;1;Częste podróże;4;3;Średnio zadowolony;2153;Wolny/Wolna;Nie;36-45;2001-4000;0-4
Nie;40;2;Brak podróży;4;2;Zadowolony;4876;Żonaty/Zamężna;Nie;36-45;4001-6000;0-4
Nie;46;2;Rzadkie podróże;1;3;Zadowolony;9396;Rozwiedziony/Rozwiedziona;Nie;46-55;8001-10000;0-4
Tak;32;8;Rzadkie podróże;4;1;Zadowolony;10400;Żonaty/Zamężna;Nie;26-35;10000+;5-8
Nie;30;8;Brak podróży;3;2;Średnio zadowolony;8474;Wolny/Wolna;Nie;26-35;8001-10000;5-8
Nie;27;7;Częste podróże;3;3;Zadowolony;9981;Wolny/Wolna;Nie;26-35;8001-10000;5-8
Nie;51;9;Rzadkie podróże;2;2;Średnio zadowolony;12490;Żonaty/Zamężna;Nie;46-55;10000+;9-12
Tak;30;2;Rzadkie podróże;1;3;Zadowolony;2657;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;41;0;Rzadkie podróże;4;3;Zadowolony;13591;Wolny/Wolna;Tak;36-45;10000+;0-4
